                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.632,                 1.1619,                 1.7175,                0.83217,                0.76926,                 0.8243,                0.44799,                  1.517,                 1.0094,                 1.6793,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.5866,                 1.0857,                 1.6411,                0.82114,                0.73893,                0.80565,                0.44258,                 1.4962,                 1.0009,                  1.672,             0.00069331,             0.00069331,             0.00069331
                     61,                    1.6,                 1.1276,                 1.6474,                0.82048,                0.73893,                0.81372,                0.45703,                 1.4865,                0.97207,                 1.6669,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.5838,                 1.0873,                 1.6619,                0.83306,                0.74797,                0.80765,                0.42805,                 1.5611,                0.96174,                 1.7117,              0.0006603,              0.0006603,              0.0006603
                     63,                  1.641,                 1.1213,                 1.7062,                0.74322,                0.66825,                0.74609,                0.39672,                 1.5575,                 1.1098,                 1.7173,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.5959,                 1.0893,                 1.6463,                0.69648,                0.67823,                0.66636,                0.33878,                 1.6199,                 1.1348,                 1.7641,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.6143,                  1.118,                 1.6997,                0.80889,                0.79339,                0.83201,                 0.4502,                 1.4984,                 1.0035,                 1.6714,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.5912,                 1.0874,                 1.6357,                0.82646,                 0.7484,                0.82993,                0.45134,                 1.5334,                 1.0695,                 1.7015,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.5924,                 1.0822,                 1.6469,                0.82737,                0.77629,                0.82666,                 0.4584,                 1.4954,                  1.013,                 1.6696,             0.00057778,             0.00057778,             0.00057778
                     68,                  1.567,                 1.0836,                 1.6566,                0.78493,                0.74291,                0.79636,                0.42428,                 1.4992,                0.96914,                 1.6608,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.5692,                 1.0517,                 1.6383,                0.81494,                0.78385,                0.83201,                0.44939,                 1.5186,                0.93306,                 1.6756,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.5676,                  1.039,                 1.6324,                0.79463,                 0.7261,                 0.8125,                0.46049,                 1.4973,                0.91915,                 1.6457,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.5598,                 1.0328,                 1.6432,                0.83918,                0.75707,                0.82747,                0.45534,                 1.4966,                0.92022,                  1.671,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.5613,                 1.0101,                 1.6353,                0.85881,                0.78199,                0.84575,                0.46133,                 1.5001,                0.90049,                 1.6571,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.5511,                  1.029,                 1.6303,                0.80121,                0.73574,                0.79037,                0.42149,                 1.5009,                 0.9382,                 1.6725,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.5144,                0.99237,                  1.602,                0.84897,                0.75955,                0.82255,                0.43964,                  1.476,                0.96005,                 1.6425,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.5352,                 1.0347,                 1.6323,                0.81091,                0.78906,                0.83152,                0.45999,                 1.4836,                0.93681,                 1.6605,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.5381,                 1.0108,                 1.6003,                0.83718,                0.79835,                0.84526,                0.47279,                  1.459,                0.87899,                 1.6321,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.5427,                 1.0174,                 1.6266,                 0.8261,                0.78618,                0.85472,                0.48452,                 1.4517,                0.86922,                 1.6187,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.4702,                0.95514,                 1.5741,                0.83812,                0.77196,                0.85559,                0.48356,                 1.4388,                0.87194,                 1.6084,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.5118,                0.97116,                 1.5859,                0.80644,                0.76639,                0.80813,                0.44283,                 1.4383,                0.89999,                 1.6143,             0.00037974,             0.00037974,             0.00037974
                     80,                  1.526,                0.98261,                 1.6005,                0.83453,                0.82181,                0.86785,                0.48594,                 1.4586,                0.87419,                 1.6215,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.5228,                0.98971,                 1.5948,                 0.8046,                0.76869,                0.79007,                0.43408,                 1.4845,                0.92359,                 1.6369,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.4754,                0.95198,                 1.5412,                0.77351,                0.80133,                0.81225,                0.46367,                 1.4308,                0.88718,                 1.6024,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.5371,                  1.007,                 1.6191,                   0.85,                0.79494,                0.86871,                0.48593,                 1.4332,                0.84325,                 1.6085,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.4978,                 0.9453,                 1.5251,                0.79782,                0.80239,                0.85207,                0.47262,                 1.4315,                0.85834,                 1.6013,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.4613,                0.90134,                 1.5381,                0.85301,                 0.7747,                0.86804,                 0.4943,                 1.4058,                0.82589,                 1.5829,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.4987,                0.92958,                 1.5695,                0.88939,                0.79619,                0.88069,                0.49879,                 1.4032,                0.81306,                   1.58,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.4503,                0.91253,                 1.5408,                0.86928,                 0.8036,                 0.8767,                0.49864,                 1.3978,                0.80304,                 1.5742,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.5129,                0.98474,                 1.6305,                0.87496,                0.82118,                0.88516,                0.51626,                 1.3567,                0.80335,                 1.5521,             0.00023121,             0.00023121,             0.00023121
                     89,                  1.471,                0.93463,                 1.5808,                0.81895,                0.81652,                0.84703,                0.47415,                 1.4004,                0.87229,                 1.5764,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.4834,                0.90278,                 1.5486,                0.86933,                0.79239,                0.87009,                0.48871,                 1.3977,                0.81374,                 1.5642,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.4603,                 1.0289,                 1.5979,                0.84742,                0.79984,                0.86137,                 0.4797,                 1.4212,                0.84074,                 1.5783,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.4731,                0.99109,                 1.5925,                0.86606,                0.82226,                 0.8948,                0.51339,                 1.4267,                0.85882,                 1.5851,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.4509,                0.91758,                 1.6001,                0.84544,                0.82234,                0.87871,                  0.501,                 1.4008,                0.86307,                  1.591,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.3982,                0.86305,                 1.5416,                0.84371,                 0.8338,                0.87617,                0.49791,                 1.3842,                0.85129,                 1.5749,             0.00013219,             0.00013219,             0.00013219
                     95,                  1.405,                0.85226,                 1.5651,                0.84483,                0.81244,                0.87963,                0.51129,                  1.369,                0.84216,                 1.5566,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.4139,                0.91074,                 1.5647,                0.84081,                0.80902,                0.87535,                0.50479,                 1.3833,                0.84248,                 1.5661,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.4407,                0.88683,                 1.5534,                0.84394,                0.80469,                0.86535,                0.49173,                 1.3862,                0.84578,                 1.5646,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.4186,                0.86176,                 1.5374,                0.85009,                0.81261,                0.87486,                0.50344,                 1.3609,                0.82344,                 1.5454,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.3993,                0.84548,                 1.5547,                0.86788,                0.81434,                0.88597,                 0.5222,                 1.3444,                0.80262,                 1.5335,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.3901,                0.83327,                 1.5437,                0.85559,                0.84118,                0.89531,                0.52788,                 1.3356,                0.78727,                 1.5265,             3.3173e-05,             3.3173e-05,             3.3173e-05
